epoch poissonLoss mseLoss Acc
1 0.7968 14.8972 0.0000
2 0.7964 14.8959 0.0000
3 0.7960 14.8947 0.0000
4 0.7956 14.8935 0.0000
5 0.7952 14.8923 0.0000
6 0.7947 14.8911 0.0000
7 0.7943 14.8899 0.0000
8 0.7939 14.8887 0.0000
9 0.7935 14.8875 0.0000
10 0.7931 14.8863 0.0000
11 0.7927 14.8851 0.0000
12 0.7922 14.8839 0.0000
13 0.7918 14.8827 0.0000
14 0.7914 14.8815 0.0000
15 0.7910 14.8803 0.0000
16 0.7906 14.8791 0.0000
17 0.7901 14.8779 0.0000
18 0.7897 14.8767 0.0000
19 0.7893 14.8755 0.0000
20 0.7889 14.8742 0.0000
21 0.7885 14.8730 0.0000
22 0.7881 14.8718 0.0000
23 0.7876 14.8706 0.0000
24 0.7872 14.8694 0.0000
25 0.7868 14.8681 0.0000
26 0.7864 14.8669 0.0000
27 0.7859 14.8657 0.0000
28 0.7855 14.8645 0.0000
29 0.7851 14.8632 0.0000
30 0.7847 14.8620 0.0000
31 0.7842 14.8608 0.0000
32 0.7838 14.8595 0.0000
33 0.7834 14.8583 0.0000
34 0.7829 14.8570 0.0000
35 0.7825 14.8558 0.0000
36 0.7821 14.8545 0.0000
37 0.7816 14.8532 0.0000
38 0.7812 14.8520 0.0000
39 0.7808 14.8507 0.0000
40 0.7803 14.8494 0.0000
41 0.7799 14.8482 0.0000
42 0.7794 14.8469 0.0000
43 0.7790 14.8456 0.0000
44 0.7785 14.8443 0.0000
45 0.7781 14.8430 0.0000
46 0.7776 14.8417 0.0000
47 0.7772 14.8403 0.0000
48 0.7767 14.8390 0.0000
49 0.7763 14.8377 0.0000
50 0.7758 14.8363 0.0000
51 0.7753 14.8350 0.0000
52 0.7749 14.8336 0.0000
53 0.7744 14.8323 0.0000
54 0.7739 14.8309 0.0000
55 0.7735 14.8295 0.0000
56 0.7730 14.8281 0.0000
57 0.7725 14.8267 0.0000
58 0.7720 14.8253 0.0000
59 0.7715 14.8239 0.0000
60 0.7710 14.8224 0.0000
61 0.7705 14.8210 0.0000
62 0.7700 14.8195 0.0000
63 0.7695 14.8180 0.0000
64 0.7690 14.8165 0.0000
65 0.7685 14.8150 0.0000
66 0.7679 14.8135 0.0000
67 0.7674 14.8119 0.0000
68 0.7669 14.8104 0.0000
69 0.7663 14.8088 0.0000
70 0.7658 14.8072 0.0000
71 0.7652 14.8055 0.0000
72 0.7646 14.8039 0.0000
73 0.7641 14.8022 0.0000
74 0.7635 14.8005 0.0000
75 0.7629 14.7988 0.0000
76 0.7623 14.7970 0.0000
77 0.7617 14.7952 0.0000
78 0.7610 14.7934 0.0000
79 0.7604 14.7915 0.0000
80 0.7598 14.7896 0.0000
81 0.7591 14.7877 0.0000
82 0.7584 14.7857 0.0000
83 0.7577 14.7837 0.0000
84 0.7570 14.7816 0.0000
85 0.7563 14.7795 0.0000
86 0.7555 14.7773 0.0000
87 0.7548 14.7750 0.0000
88 0.7540 14.7727 0.0000
89 0.7532 14.7703 0.0000
90 0.7523 14.7679 0.0000
91 0.7514 14.7653 0.0000
92 0.7505 14.7626 0.0000
93 0.7496 14.7598 0.0000
94 0.7486 14.7570 0.0000
95 0.7476 14.7539 0.0000
96 0.7465 14.7508 0.0000
97 0.7454 14.7474 0.0000
98 0.7442 14.7439 0.0000
99 0.7430 14.7402 0.0000
100 0.7417 14.7362 0.0000
